Date,Price,Open,High,Low,Change %
2000/1/3,8.2798,8.2798,8.2798,8.2798,0.00%
2000/1/4,8.2799,8.2799,8.2799,8.2799,0.00%
2000/1/5,8.2798,8.2798,8.2798,8.2798,0.00%
2000/1/6,8.2797,8.2797,8.2797,8.2797,0.00%
2000/1/7,8.2794,8.2794,8.2794,8.2794,0.00%
2000/1/10,8.2794,8.2794,8.2794,8.2794,0.00%
2000/1/11,8.2795,8.2795,8.2795,8.2795,0.00%
2000/1/12,8.2796,8.2796,8.2796,8.2796,0.00%
2000/1/13,8.2798,8.2798,8.2798,8.2798,0.00%
2000/1/14,8.2797,8.2797,8.2797,8.2797,0.00%
2000/1/17,8.2793,8.2793,8.2793,8.2793,0.00%
2000/1/18,8.2793,8.2793,8.2793,8.2793,0.00%
2000/1/19,8.2797,8.2797,8.2797,8.2797,0.00%
2000/1/20,8.2794,8.2794,8.2794,8.2794,0.00%
2000/1/21,8.2795,8.2795,8.2795,8.2795,0.00%
2000/1/24,8.2789,8.2789,8.2789,8.2789,-0.01%
2000/1/25,8.2786,8.2786,8.2786,8.2786,0.00%
2000/1/26,8.2782,8.2782,8.2782,8.2782,0.00%
2000/1/27,8.2783,8.2783,8.2783,8.2783,0.00%
2000/1/28,8.2781,8.2781,8.2781,8.2781,0.00%
2000/1/31,8.2777,8.2777,8.2777,8.2777,0.00%
2000/2/1,8.2774,8.2774,8.2774,8.2774,0.00%
2000/2/2,8.2773,8.2773,8.2773,8.2773,0.00%
2000/2/3,8.2781,8.2781,8.2781,8.2781,0.01%
2000/2/4,8.2788,8.2788,8.2788,8.2788,0.01%
2000/2/7,8.2788,8.2788,8.2788,8.2788,0.00%
2000/2/8,8.2788,8.2788,8.2788,8.2788,0.00%
2000/2/9,8.2788,8.2788,8.2788,8.2788,0.00%
2000/2/10,8.2788,8.2788,8.2788,8.2788,0.00%
2000/2/11,8.2788,8.2788,8.2788,8.2788,0.00%
2000/2/14,8.2779,8.2779,8.2779,8.2779,-0.01%
2000/2/15,8.2777,8.2777,8.2777,8.2777,0.00%
2000/2/16,8.2777,8.2777,8.2777,8.2777,0.00%
2000/2/17,8.2772,8.2772,8.2772,8.2772,-0.01%
2000/2/18,8.2772,8.2772,8.2772,8.2772,0.00%
2000/2/21,8.2775,8.2775,8.2775,8.2775,0.00%
2000/2/22,8.2773,8.2773,8.2773,8.2773,0.00%
2000/2/23,8.278,8.278,8.278,8.278,0.01%
2000/2/24,8.278,8.278,8.278,8.278,0.00%
2000/2/25,8.2786,8.2786,8.2786,8.2786,0.01%
2000/2/28,8.2786,8.2786,8.2786,8.2786,0.00%
2000/2/29,8.2786,8.2786,8.2786,8.2786,0.00%
2000/3/1,8.2786,8.2786,8.2786,8.2786,0.00%
2000/3/2,8.2787,8.2787,8.2787,8.2787,0.00%
2000/3/3,8.2789,8.2789,8.2789,8.2789,0.00%
2000/3/6,8.2785,8.2785,8.2785,8.2785,0.00%
2000/3/7,8.2784,8.2784,8.2784,8.2784,0.00%
2000/3/8,8.2786,8.2786,8.2786,8.2786,0.00%
2000/3/9,8.2787,8.2787,8.2787,8.2787,0.00%
2000/3/10,8.2785,8.2785,8.2785,8.2785,0.00%
2000/3/13,8.2781,8.2781,8.2781,8.2781,0.00%
2000/3/14,8.278,8.278,8.278,8.278,0.00%
2000/3/15,8.2778,8.2778,8.2778,8.2778,0.00%
2000/3/16,8.2777,8.2777,8.2777,8.2777,0.00%
2000/3/17,8.2785,8.2785,8.2785,8.2785,0.01%
2000/3/20,8.2786,8.2786,8.2786,8.2786,0.00%
2000/3/21,8.2783,8.2783,8.2783,8.2783,0.00%
2000/3/22,8.2783,8.2783,8.2783,8.2783,0.00%
2000/3/23,8.2787,8.2787,8.2787,8.2787,0.00%
2000/3/24,8.2789,8.2789,8.2789,8.2789,0.00%
2000/3/27,8.2792,8.2792,8.2792,8.2792,0.00%
2000/3/28,8.2795,8.2795,8.2795,8.2795,0.00%
2000/3/29,8.2789,8.2789,8.2789,8.2789,-0.01%
2000/3/30,8.2788,8.2788,8.2788,8.2788,0.00%
2000/3/31,8.2787,8.2787,8.2787,8.2787,0.00%
2000/4/3,8.2786,8.2786,8.2786,8.2786,0.00%
2000/4/4,8.2791,8.2791,8.2791,8.2791,0.01%
2000/4/5,8.2795,8.2795,8.2795,8.2795,0.00%
2000/4/6,8.2795,8.2795,8.2795,8.2795,0.00%
2000/4/7,8.2795,8.2795,8.2795,8.2795,0.00%
2000/4/10,8.2798,8.2798,8.2798,8.2798,0.00%
2000/4/11,8.2791,8.2791,8.2791,8.2791,-0.01%
2000/4/12,8.2796,8.2796,8.2796,8.2796,0.01%
2000/4/13,8.2794,8.2794,8.2794,8.2794,0.00%
2000/4/14,8.2794,8.2794,8.2794,8.2794,0.00%
2000/4/17,8.2794,8.2794,8.2794,8.2794,0.00%
2000/4/18,8.279,8.279,8.279,8.279,0.00%
2000/4/19,8.2793,8.2793,8.2793,8.2793,0.00%
2000/4/20,8.2791,8.2791,8.2791,8.2791,0.00%
2000/4/21,8.2785,8.2785,8.2785,8.2785,-0.01%
2000/4/24,8.2786,8.2786,8.2786,8.2786,0.00%
2000/4/25,8.2791,8.2791,8.2791,8.2791,0.01%
2000/4/26,8.2795,8.2795,8.2795,8.2795,0.00%
2000/4/27,8.2798,8.2798,8.2798,8.2798,0.00%
2000/4/28,8.2799,8.2799,8.2799,8.2799,0.00%
2000/5/1,8.2799,8.2799,8.2799,8.2799,0.00%
2000/5/2,8.2799,8.2799,8.2799,8.2799,0.00%
2000/5/3,8.2799,8.2799,8.2799,8.2799,0.00%
2000/5/4,8.2799,8.2799,8.2799,8.2799,0.00%
2000/5/5,8.2799,8.2799,8.2799,8.2799,0.00%
2000/5/8,8.2798,8.2798,8.2798,8.2798,0.00%
2000/5/9,8.279,8.279,8.279,8.279,-0.01%
2000/5/10,8.2785,8.2785,8.2785,8.2785,-0.01%
2000/5/11,8.2782,8.2782,8.2782,8.2782,0.00%
2000/5/12,8.2778,8.2778,8.2778,8.2778,0.00%
2000/5/15,8.2777,8.2777,8.2777,8.2777,0.00%
2000/5/16,8.2772,8.2772,8.2772,8.2772,-0.01%
2000/5/17,8.2768,8.2768,8.2768,8.2768,0.00%
2000/5/18,8.2773,8.2773,8.2773,8.2773,0.01%
2000/5/19,8.2768,8.2768,8.2768,8.2768,-0.01%
2000/5/22,8.277,8.277,8.277,8.277,0.00%
2000/5/23,8.2768,8.2768,8.2768,8.2768,0.00%
2000/5/24,8.2769,8.2769,8.2769,8.2769,0.00%
2000/5/25,8.2773,8.2773,8.2773,8.2773,0.00%
2000/5/26,8.2771,8.2771,8.2771,8.2771,0.00%
2000/5/29,8.2768,8.2768,8.2768,8.2768,0.00%
2000/5/30,8.2772,8.2772,8.2772,8.2772,0.00%
2000/5/31,8.2773,8.2773,8.2773,8.2773,0.00%
2000/6/1,8.2771,8.2771,8.2771,8.2771,0.00%
2000/6/2,8.2771,8.2771,8.2771,8.2771,0.00%
2000/6/5,8.277,8.277,8.277,8.277,0.00%
2000/6/6,8.2773,8.2773,8.2773,8.2773,0.00%
2000/6/7,8.2773,8.2773,8.2773,8.2773,0.00%
2000/6/8,8.2775,8.2775,8.2775,8.2775,0.00%
2000/6/9,8.2772,8.2772,8.2772,8.2772,0.00%
2000/6/12,8.2771,8.2771,8.2771,8.2771,0.00%
2000/6/13,8.277,8.277,8.277,8.277,0.00%
2000/6/14,8.2768,8.2768,8.2768,8.2768,0.00%
