Date,Price,Open,High,Low,Change %
2000/1/3,31.365,31.365,31.395,31.345,-0.06%
2000/1/4,30.525,31.075,31.135,30.525,-2.68%
2000/1/5,30.725,30.525,30.825,30.525,0.66%
2000/1/6,30.78,30.78,31.72,30.77,0.18%
2000/1/7,30.775,30.915,30.955,30.775,-0.02%
2000/1/10,30.755,30.775,30.875,30.685,-0.06%
2000/1/11,30.755,30.815,30.875,30.755,0.00%
2000/1/12,30.725,30.895,30.895,30.725,-0.10%
2000/1/13,30.73,30.81,30.84,30.73,0.02%
2000/1/14,30.7,30.75,30.87,30.67,-0.10%
2000/1/17,30.85,30.83,30.85,30.81,0.49%
2000/1/18,30.8,30.825,30.84,30.75,-0.16%
2000/1/19,30.775,30.87,30.885,30.775,-0.08%
2000/1/20,30.785,30.845,30.85,30.785,0.03%
2000/1/21,30.775,30.85,30.875,30.775,-0.03%
2000/1/24,30.775,30.825,30.865,30.775,0.00%
2000/1/25,30.775,30.825,30.845,30.775,0.00%
2000/1/26,30.775,30.805,30.845,30.775,0.00%
2000/1/27,30.755,30.795,30.825,30.755,-0.06%
2000/1/28,30.675,30.775,30.855,30.675,-0.26%
2000/1/31,30.675,30.735,30.775,30.675,0.00%
2000/2/1,30.68,30.72,30.72,30.67,0.02%
2000/2/2,30.665,30.675,30.765,30.665,-0.05%
2000/2/3,30.685,30.675,30.765,30.675,0.07%
2000/2/4,30.725,30.825,30.825,30.725,0.13%
2000/2/7,30.685,30.755,30.815,30.675,-0.13%
2000/2/8,30.675,30.875,30.875,30.675,-0.03%
2000/2/9,30.685,30.665,30.695,30.525,0.03%
2000/2/10,30.6,30.55,30.71,30.53,-0.28%
2000/2/11,30.565,30.725,30.725,30.565,-0.11%
2000/2/14,30.67,30.59,30.67,30.59,0.34%
2000/2/15,30.7,30.74,30.75,30.62,0.10%
2000/2/16,30.71,30.65,30.71,30.64,0.03%
2000/2/17,30.67,30.695,30.74,30.67,-0.13%
2000/2/18,30.715,30.75,30.75,30.71,0.15%
2000/2/21,30.7,30.69,30.731,30.66,-0.05%
2000/2/22,30.74,30.725,30.848,30.725,0.13%
2000/2/23,30.725,30.845,30.86,30.725,-0.05%
2000/2/24,30.775,30.86,30.86,30.775,0.16%
2000/2/25,30.725,30.83,30.845,30.725,-0.16%
2000/2/28,30.74,30.815,30.815,30.74,0.05%
2000/2/29,30.7,30.76,30.81,30.69,-0.13%
2000/3/1,30.675,30.765,30.805,30.675,-0.08%
2000/3/2,30.7,30.71,30.76,30.7,0.08%
2000/3/3,30.675,30.78,30.78,30.675,-0.08%
2000/3/6,30.75,30.735,30.795,30.7,0.24%
2000/3/7,30.7,30.805,30.815,30.7,-0.16%
2000/3/8,30.71,30.78,30.8,30.71,0.03%
