Date,Price_USD,Open_USD,High_USD,Low_USD,USD_Change %,Price_CNY,Open_CNY,High_CNY,Low_CNY,CNY_Change %,Price_JPY,Open_JPY,High_JPY,Low_JPY,JPY_Change %,Price_EUR,Open_EUR,High_EUR,Low_EUR,EUR_Change %,Price_GBP,Open_GBP,High_GBP,Low_GBP,GBP_Change %,RSI_7_USD,RSI_7_CNY,RSI_7_GBP,RSI_7_JPY,RSI_7_EUR,MA_5_USD,MA_5_CNY,MA_5_GBP,MA_5_JPY,MA_5_EUR,K_9_USD,D_9_USD,K>D_9_USD,K_9_CNY,D_9_CNY,K>D_9_CNY,K_9_GBP,D_9_GBP,K>D_9_GBP,K_9_JPY,D_9_JPY,K>D_9_JPY,K_9_EUR,D_9_EUR,K>D_9_EUR,macd_USD,macd_h_USD,macd_s_USD,macd_CNY,macd_h_CNY,macd_s_CNY,macd_GBP,macd_h_GBP,macd_s_GBP,macd_JPY,macd_h_JPY,macd_s_JPY,macd_EUR,macd_h_EUR,macd_s_EUR
2000/1/3,0.031882672,0.031882672,0.031852206,0.031903015,,0.263982146,0.263982146,0.263729893,0.264150582,,3.238960625,3.255539614,3.254658385,3.232094433,,0.031059593,0.03171774,0.030978609,0.031744293,,0.019476281,0.019750153,0.01942563,0.019762755,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000/1/4,0.032760033,0.032180209,0.032118195,0.032760033,0.027518428,0.271249795,0.266448914,0.265935442,0.271249795,0.027530837,3.383128583,3.265004023,3.317167175,3.321867322,0.044510562,0.031768845,0.031413715,0.03104107,0.032076797,0.022835207,0.020012237,0.019666448,0.019566369,0.020079701,0.027518428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000/1/5,0.032546786,0.032760033,0.0324412,0.032760033,-0.006509357,0.269480879,0.271246519,0.26860665,0.271246519,-0.006521356,3.394304312,3.383456183,3.386861314,3.366420966,0.003303371,0.031549812,0.031821304,0.031181469,0.031861537,-0.00689458,0.019821429,0.020030592,0.019718697,0.020031817,-0.009534603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000/1/6,0.032488629,0.032488629,0.031525851,0.032499188,-0.001786875,0.268996101,0.268996101,0.26102459,0.269083523,-0.001798931,3.42202729,3.389213775,3.327553594,3.378940526,0.008167499,0.031469032,0.031465984,0.030258039,0.03162938,-0.002560383,0.019728339,0.019783601,0.019091535,0.019800882,-0.00469641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000/1/7,0.032493907,0.032346757,0.032304959,0.032493907,0.00016247,0.269030057,0.267811742,0.267465676,0.269030057,0.00012623,3.423558083,3.405143134,3.421418188,3.40698619,0.000447335,0.031572005,0.031322511,0.031263872,0.031695189,0.003272186,0.019829076,0.019640997,0.019578763,0.019859374,0.005106215,0,0,0,0,0,0.032434405,0.268547796,0.019773473,3.372395779,0.031483857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000/1/10,0.032515038,0.032493907,0.032388664,0.032589213,0.000650301,0.269205007,0.269030057,0.268158704,0.26981913,0.000650301,3.417655666,3.415759545,3.413441296,3.399054913,-0.001724059,0.031700339,0.03158428,0.031436149,0.03190954,0.004064824,0.019862577,0.019825447,0.019752799,0.019960319,0.001689461,0,0,0,0,0,0.032560879,0.269592368,0.019850732,3.408134787,0.031612007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000/1/11,0.032515038,0.032451728,0.032388664,0.032515038,0,0.269208259,0.268684082,0.268161943,0.269208259,1.21E-05,3.449195253,3.40808048,3.44388664,3.414729312,0.009228427,0.031461092,0.031632448,0.031317602,0.031749866,-0.00754717,0.019724015,0.019823902,0.019630683,0.019874718,-0.006976039,76.90522589,76.84600935,61.33632798,97.34172608,63.56764412,0.03251188,0.269184061,0.019793087,3.421348121,0.031550456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000/1/12,0.032546786,0.032367697,0.032367697,0.032546786,0.000976404,0.269474369,0.267991584,0.267991584,0.269474369,0.000988493,3.448331977,3.429357501,3.439715164,3.434011391,-0.000250283,0.03156205,0.03135797,0.031212823,0.031728198,0.003208993,0.01975166,0.019654905,0.019600156,0.019782875,0.001401627,17.64682696,17.50639483,27.70344075,91.40698336,38.13332844,0.03251188,0.269182759,0.019779133,3.432153654,0.031552904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000/1/13,0.03254149,0.032456994,0.032425422,0.03254149,-0.000162707,0.269437032,0.268737423,0.268476005,0.269437032,-0.000138556,3.452326717,3.435897436,3.445849546,3.429873088,0.001158456,0.031735411,0.031478028,0.031419982,0.031788112,0.005492701,0.019761639,0.019707933,0.019648198,0.019829072,0.000505187,47.82270387,47.80851117,42.59131184,90.54460603,61.23951614,0.032522452,0.269270945,0.019785793,3.438213539,0.031606179,39.54495106,13.18165035,1,39.54495106,13.18165035,1,3.736379682,1.245459894,1,34.34339424,11.44779808,1,-18.2909617,-6.096987235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000/1/14,0.03257329,0.032520325,0.03239391,0.032605152,0.000977199,0.269697068,0.269258537,0.268211856,0.269960874,0.000965109,3.446579805,3.448780488,3.446712018,3.435604826,-0.001664649,0.032161621,0.031693134,0.031533057,0.032247208,0.013430114,0.019934694,0.019733207,0.019656499,0.019967635,0.008757132,94.44043453,95.18628209,71.34061318,74.76163927,79.57040306,0.032538329,0.269404347,0.019806917,3.442817883,0.031724103,-23.84028235,0.841006118,0,-26.14822729,0.071691141,0,-165.7684226,-54.42583427,0,56.19362868,26.36307495,1,-196.3820742,-69.52534954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000/1/17,0.032414911,0.032435939,0.032414911,0.032456994,-0.004862237,0.268372771,0.26854687,0.268372771,0.268721194,-0.004910313,3.398379254,3.431722348,3.433063209,3.394677053,-0.013985038,0.032036876,0.032026006,0.031939019,0.032234576,-0.003878705,0.019847484,0.019838495,0.019777249,0.019917154,-0.004374782,34.09590202,34.09267071,51.95846243,36.91974684,69.48560105,0.032518303,0.2692379,0.019803898,3.438962601,0.03179141,72.92333418,24.86844881,1,83.96208118,28.03515449,1,-493.2994123,-200.7170269,0,50.73010269,34.48541753,1,-87.05363397,-75.36811102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000/1/18,0.032467532,0.0324412,0.032425422,0.032520325,0.001623377,0.268808442,0.26859043,0.268459792,0.269245528,0.001623377,3.431493506,3.402108678,3.429312581,3.406504065,0.009744131,0.032047707,0.032047022,0.031968275,0.032287853,0.000338103,0.019833557,0.019858717,0.019782455,0.019930334,-0.000701711,41.51209019,41.47794441,46.77826568,55.60421084,66.15132493,0.032508802,0.269157937,0.019825807,3.435422252,0.031908733,37.490015,29.07563754,1,44.11352263,33.39461054,1,-4348.222953,-1583.219002,0,59.66819365,42.87967624,1,-16.88956416,-55.87526207,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000/1/19,0.032493907,0.03239391,0.032378177,0.032493907,0.000812348,0.269039805,0.268211856,0.268081593,0.269039805,0.0008607,3.422583266,3.424036281,3.436295937,3.415434606,-0.002596607,0.03210226,0.031949808,0.031849476,0.032216843,0.001702222,0.01976515,0.019780125,0.019677998,0.019859374,-0.003449019,46.5497163,46.70320906,55.40943461,36.80353312,85.99403132,0.032498226,0.269071024,0.019828505,3.43027251,0.032016775,-13.97768293,14.72453071,0,-13.90591355,17.62776917,0,-1493.155816,-1553.19794,1,57.65537331,47.80490859,1,38.42797799,-24.44084871,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000/1/20,0.032483352,0.032420165,0.032414911,0.032483352,-0.000324834,0.268942667,0.268419517,0.268376013,0.268942667,-0.000361055,3.421796329,3.412870806,3.426904376,3.415624492,-0.000229925,0.031924671,0.031982012,0.031813633,0.032251144,-0.005531987,0.019633335,0.019708307,0.019558867,0.019785207,-0.0066691,38.87228378,38.85713057,37.78618382,36.83141854,68.74414803,0.032486599,0.268972151,0.019802844,3.424166432,0.032054627,-37.14586041,-2.565599661,0,-39.37966214,-1.374707933,0,10863.97553,2585.859883,1,55.80938573,50.47306764,1,52.89771937,1.338673981,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000/1/21,0.032493907,0.032414911,0.032388664,0.032493907,0.000324939,0.269033306,0.268379254,0.268161943,0.269033306,0.000337021,3.403086921,3.416531605,3.419271255,3.392363932,-0.005467715,0.032200879,0.031863669,0.031775399,0.032335464,0.008651893,0.019700441,0.019591968,0.019531245,0.019717177,0.003417977,41.80409618,41.72402434,44.34946284,28.67821922,71.74805968,0.032470722,0.268839398,0.019755993,3.415467855,0.032062479,-63.73493321,-22.95537751,0,-68.68453117,-23.81131568,0,7234.104422,4135.274729,1,43.78299251,48.2430426,0,100.894295,34.523881,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000/1/24,0.032493907,0.0324412,0.032399158,0.032493907,0,0.26901381,0.268577453,0.268229386,0.26901381,-7.25E-05,3.433631194,3.412814274,3.429774826,3.399512591,0.008975461,0.032242417,0.032366757,0.0321484,0.032500407,0.001289938,0.01967539,0.019699539,0.019564709,0.019739935,-0.001271571,34.64470569,34.46154057,17.05300047,45.384255,55.89347494,0.032486521,0.268967606,0.019721575,3.422518243,0.032103587,-81.46098174,-42.45724559,0,-85.57059382,-44.39774172,0,4801.398624,4357.316027,1,54.49912805,50.32840442,1,108.0542389,59.0340003,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000/1/25,0.032493907,0.0324412,0.032420165,0.032493907,0,0.269004062,0.268567721,0.268393581,0.269004062,-3.62E-05,3.445004062,3.424493106,3.439455341,3.426807474,0.003312198,0.032474423,0.032196507,0.032102352,0.03252969,0.007195683,0.019759141,0.019626838,0.019599882,0.01977357,0.004256613,89.4561456,85.70421708,38.67562031,72.53756707,77.59763488,0.032491796,0.26900673,0.019706692,3.425220354,0.03218893,-93.27834742,-59.39761286,0,-95.50271056,-61.43273134,0,3222.3609,3978.997652,0,68.61854379,56.42511754,1,135.5326468,84.53354914,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000/1/26,0.032493907,0.032462263,0.032420165,0.032493907,0,0.268991064,0.268729102,0.268380613,0.268991064,-4.83E-05,3.434606011,3.440999838,3.446587778,3.42810723,-0.003018298,0.032454961,0.032420116,0.032236418,0.032516669,-0.000599281,0.019831497,0.019727902,0.019681985,0.019865444,0.003661886,77.77176364,69.79077948,49.77033115,51.92792145,75.41032961,0.032491796,0.268996982,0.019719961,3.427624904,0.03225947,-101.1565912,-73.31727232,0,-98.08160239,-73.64902169,0,2206.616614,3388.203972,0,71.65404727,61.50142745,1,495.8319394,221.6330126,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000/1/27,0.032515038,0.032472804,0.0324412,0.032515038,0.000650301,0.269169241,0.268819614,0.268557989,0.269169241,0.000662389,3.419606568,3.430427017,3.436171938,3.402698748,-0.004367151,0.032893311,0.032411223,0.032344168,0.032946639,0.013506405,0.019838339,0.019808945,0.019771575,0.019897826,0.000345038,75.0121872,65.85459839,59.45784675,48.28552929,83.37340077,0.032498134,0.269042297,0.019760962,3.427186951,0.032453198,-189.9381339,-112.1908928,0,-156.8972348,-101.398426,0,1532.947857,2769.785267,0,64.51638568,62.50641353,1,507.6518918,316.972639,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000/1/28,0.032599837,0.032493907,0.032409658,0.032599837,0.002607987,0.269864711,0.268987815,0.268290391,0.269864711,0.002583764,3.49209454,3.414784728,3.477556312,3.407660962,0.021197752,0.03343573,0.03288857,0.032753571,0.033476933,0.016490251,0.020134542,0.019819401,0.019768013,0.020169422,0.01493082,100,95.80318862,95.45616978,72.17441076,98.74441792,0.032519319,0.269208577,0.019847782,3.444988475,0.032700168,-218.740337,-147.7073742,0,-184.4955619,-129.0974713,0,1235.08749,2258.219341,0,82.0326484,69.01515848,1,414.1332513,349.3595098,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000/1/31,0.032599837,0.032536197,0.032493907,0.032599837,0,0.269851671,0.269324874,0.268974817,0.269851671,-4.83E-05,3.501222494,3.478119408,3.49471974,3.474164629,0.002613891,0.033625412,0.033271497,0.03305922,0.033712344,0.005673027,0.020175663,0.020044478,0.019980266,0.020221969,0.002042332,100,94.04884084,95.2314114,82.94675473,98.67018143,0.032540505,0.26937615,0.019947837,3.458506735,0.032976768,222.0351027,-24.45988194,1,819.4542666,187.0864413,1,881.4816925,1799.306792,0,90.13946136,76.05659278,1,331.8266915,343.515237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000/2/1,0.032594524,0.032552083,0.032552083,0.032605152,-0.000162973,0.269797914,0.269446615,0.269446615,0.269885882,-0.000199209,3.514015645,3.495768229,3.514648438,3.492011738,0.00365391,0.033519667,0.033545016,0.033274132,0.033742266,-0.003144798,0.020191119,0.020143616,0.02011996,0.020254163,0.000766071,95.22405432,90.7035416,100,80.63912,91.80405496,0.032560629,0.26953492,0.020034232,3.472309052,0.033185816,201.9397592,51.00666511,1,602.8726741,325.6818522,1,626.8767705,1408.496785,0,93.2538158,81.78900045,1,262.5517084,316.5273941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000/2/2,0.032610468,0.032599837,0.032504469,0.032610468,0.000489157,0.269926626,0.269838631,0.269049244,0.269926626,0.00047707,3.527148215,3.515892421,3.544612384,3.511821295,0.003737197,0.033395256,0.033549282,0.033140772,0.033657207,-0.003711566,0.020272577,0.020180659,0.020120377,0.020349746,0.004034344,95.82275793,92.62634139,100,80.89539796,82.42218209,0.032583941,0.269722033,0.020122448,3.490817492,0.033373875,201.4127445,101.1420249,1,470.3716656,373.91179,1,463.8338547,1093.609141,0,91.67893201,85.08564431,1,212.6690936,281.9079606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
