,RSI,KD,MA,MACD,Strength,Trend
0,0,1,-1,1,1,0
1,0,1,2,1,1,3
2,0,1,1,1,1,2
3,2,1,1,-2,3,-1
4,0,1,1,-1,1,0
5,0,1,-2,-1,1,-3
6,1,1,2,-1,2,1
7,1,1,1,-1,2,0
8,1,1,1,-1,2,0
9,0,-2,1,-1,-2,0
10,1,-1,1,-1,0,0
11,2,-1,1,-1,1,0
12,0,-1,-2,-1,-1,-3
13,0,-1,2,-1,-1,1
14,0,-1,1,-1,-1,0
15,0,2,1,-1,2,0
16,0,1,1,-1,1,0
17,0,1,1,-1,1,0
18,0,-2,-2,-1,-2,-3
19,0,-1,-1,-1,-1,-2
20,0,-1,2,-1,-1,1
21,0,2,1,-1,2,0
22,0,1,1,-1,1,0
23,0,1,1,-1,1,0
24,2,1,1,-1,3,0
25,2,1,1,-1,3,0
26,0,-2,-2,-1,-2,-3
27,0,-1,-1,-1,-1,-2
28,0,-1,-1,-1,-1,-2
29,0,-1,2,-1,-1,1
30,0,-1,1,-1,-1,0
31,0,-1,1,-1,-1,0
32,2,-1,1,-1,1,0
33,2,2,1,-1,4,0
34,0,1,-2,-1,1,-3
35,0,1,2,2,1,4
36,0,1,1,1,1,2
37,0,1,1,1,1,2
38,0,1,1,1,1,2
39,1,-2,1,1,-1,2
40,2,-1,1,1,1,2
41,2,-1,1,1,1,2
42,0,-1,-2,1,-1,-1
43,0,2,-1,1,2,0
44,-1,1,-1,1,0,0
45,-2,-2,-1,1,-4,0
46,-1,-1,2,1,-2,3
47,-1,-1,-2,1,-2,-1
48,-1,-1,-1,1,-2,0
49,-1,-1,-1,1,-2,0
50,0,2,2,1,2,3
51,0,1,1,1,1,2
52,1,1,1,1,2,2
53,1,1,1,-2,2,-1
54,2,1,1,-1,3,0
55,2,-2,1,-1,0,0
56,1,-1,-2,-1,0,-3
57,1,-1,-1,-1,0,-2
58,0,-1,2,-1,-1,1
59,0,-1,1,-1,-1,0
60,1,-1,1,-1,0,0
61,0,-1,1,-1,-1,0
62,2,-1,1,-1,1,0
63,0,-1,-2,-1,-1,-3
64,0,-1,-1,-1,-1,-2
65,0,-1,-1,-1,-1,-2
66,-1,-1,-1,2,-2,1
67,0,-1,-1,1,-1,0
68,-2,-1,-1,1,-3,0
69,-2,-1,-1,1,-3,0
70,-2,-1,-1,1,-3,0
71,-1,-1,-1,1,-2,0
72,0,2,2,1,2,3
73,0,1,1,1,1,2
74,0,1,1,1,1,2
75,1,1,1,1,2,2
76,1,1,-2,1,2,-1
77,1,1,-1,1,2,0
78,0,1,-1,1,1,0
79,0,1,2,1,1,3
80,1,-2,1,1,-1,2
81,1,-1,1,-2,0,-1
82,2,2,1,-1,4,0
83,2,1,1,-1,3,0
84,2,1,-2,-1,3,-3
85,1,1,-1,-1,2,-2
86,1,1,2,-1,2,1
87,0,1,1,-1,1,0
88,0,1,-2,-1,1,-3
89,0,-2,-1,-1,-2,-2
90,0,-1,-1,2,-1,1
91,0,-1,-1,1,-1,0
92,-2,-1,-1,1,-3,0
93,0,-1,2,1,-1,3
94,0,-1,1,1,-1,2
95,0,2,1,1,2,2
96,0,-2,1,1,-2,2
97,0,-1,-2,1,-1,-1
98,0,2,-1,1,2,0
99,0,-2,2,1,-2,3
100,0,-1,1,-2,-1,-1
101,0,-1,-2,2,-1,0
102,0,-1,-1,1,-1,0
103,0,2,2,1,2,3
104,0,1,-2,1,1,-1
105,-1,-2,-1,1,-3,0
